emp_no,title,last_name,first_name,to_date
277854,Engineer,Levergood,Shem,9999-01-01
445505,Senior Staff,Khalid,Vugranam,9999-01-01
260949,Senior Staff,Oberman,Sudharsan,9999-01-01
206411,Senior Engineer,Vidal,Shigeichiro,9999-01-01
41628,Senior Staff,Claffy,Josyula,9999-01-01
27367,Senior Engineer,Junet,Mokhtar,9999-01-01
73635,Staff,Desikan,Roselyn,9999-01-01
213991,Senior Staff,Erbe,Miyeon,9999-01-01
469720,Senior Engineer,Rissland,Sarita,9999-01-01
50257,Staff,Pezzoli,Shigeichiro,9999-01-01
263248,Technique Leader,Fiebach,Jeong,9999-01-01
481040,Staff,Serdy,Shahaf,9999-01-01
27241,Senior Staff,Erez,Mayuri,9999-01-01
49174,Senior Staff,Pollock,Giri,9999-01-01
227358,Engineer,Muhling,Rafols,9999-01-01
287042,Senior Engineer,Schwartzbauer,Constantino,9999-01-01
85033,Staff,Luke,Garnet,9999-01-01
220211,Senior Engineer,Reinhart,Hironoby,9999-01-01
479307,Staff,Cappelletti,Ennio,9999-01-01
210153,Senior Staff,Lanteri,Unal,9999-01-01
420048,Staff,Kalafatis,Khue,9999-01-01
487582,Engineer,Katalagarianos,Domenico,9999-01-01
229867,Senior Engineer,Merkl,Jasminko,9999-01-01
18065,Senior Staff,Wroclawski,Chriss,9999-01-01
82875,Senior Staff,Terekhov,Domenick,9999-01-01
472925,Staff,Prampolini,Fusako,9999-01-01
455998,Staff,Panangaden,Dante,9999-01-01
472701,Technique Leader,Isaac,Jiann,9999-01-01
111692,Manager,Butterworth,Tonny,9999-01-01
60022,Technique Leader,Dolinsky,Koichi,9999-01-01
493407,Engineer,Gargeya,Tua,9999-01-01
59790,Senior Engineer,Heering,Vishv,9999-01-01
12790,Senior Staff,Perl,Gunilla,9999-01-01
488364,Engineer,Murillo,Taizo,9999-01-01
429379,Senior Staff,Danecki,Tsutomu,9999-01-01
465321,Senior Staff,Slobodova,Fumitaka,9999-01-01
251200,Assistant Engineer,Birdsall,Kaijung,9999-01-01
59688,Engineer,Scharstein,Woody,9999-01-01
107840,Senior Engineer,Hettesheimer,Krister,9999-01-01
49894,Staff,Barvinok,Wilmer,9999-01-01
10429,Senior Engineer,Improta,Martien,9999-01-01
278900,Senior Engineer,Grospietsch,Xiaoshan,9999-01-01
418555,Staff,Luan,Kristina,9999-01-01
445614,Staff,Riexinger,Xudong,9999-01-01
214788,Assistant Engineer,Zschoche,Sadun,9999-01-01
432284,Senior Engineer,Dredge,Oksana,9999-01-01
55273,Staff,Zockler,Chiranjit,9999-01-01
290337,Senior Staff,Soicher,Jaroslava,9999-01-01
406326,Engineer,Vieth,Godehard,9999-01-01
474474,Senior Staff,Lammel,Kazuhira,9999-01-01
105876,Senior Engineer,Junet,Eldridge,9999-01-01
223266,Staff,Terlouw,Selwyn,9999-01-01
279753,Senior Engineer,Georg,Gio,9999-01-01
487260,Senior Staff,Nyrup,Katsuo,9999-01-01
291325,Senior Staff,Speckmann,Arno,9999-01-01
106555,Engineer,Gaughan,Rosalyn,9999-01-01
436449,Senior Engineer,Wilfing,Tetsurou,9999-01-01
15905,Engineer,Petersohn,DeForest,9999-01-01
299004,Senior Engineer,Monkewich,Kokou,9999-01-01
259501,Engineer,Zultner,Udi,9999-01-01
59121,Staff,Trumbly,Quingbo,9999-01-01
266748,Senior Engineer,Nitsch,Henk,9999-01-01
219597,Staff,Marciano,Genevieve,9999-01-01
294978,Senior Engineer,Pagter,Adas,9999-01-01
210473,Engineer,Terlouw,Aram,9999-01-01
498183,Senior Engineer,Daescu,Sreekrishna,9999-01-01
280746,Senior Staff,Molenkamp,Taizo,9999-01-01
449657,Staff,Serre,Cathie,9999-01-01
279518,Senior Staff,Ellozy,Werner,9999-01-01
439115,Engineer,Backhouse,Pohua,9999-01-01
50369,Staff,Gils,Shmuel,9999-01-01
444621,Staff,Hardjono,Persi,9999-01-01
472116,Senior Engineer,Azevdeo,Jaroslava,9999-01-01
79783,Engineer,Szilard,Thodoros,9999-01-01
477144,Senior Staff,Pramanik,Augustine,9999-01-01
108770,Senior Engineer,Onuegbe,Ugo,9999-01-01
454215,Senior Staff,Brender,Koichi,9999-01-01
453822,Staff,Piancastelli,Claude,9999-01-01
203268,Staff,Poujol,Uno,9999-01-01
94898,Engineer,Vandervoorde,Kristof,9999-01-01
36009,Senior Engineer,Gonthier,Pranjal,9999-01-01
460673,Engineer,Zallocco,Houman,9999-01-01
422363,Staff,Pramanik,Tetsurou,9999-01-01
292032,Staff,Siprelle,Herb,9999-01-01
214364,Staff,Siksek,Kwangho,9999-01-01
61588,Staff,Byoun,Doohun,9999-01-01
248456,Staff,Brender,Jinpo,9999-01-01
493519,Engineer,Papsdorf,Sadegh,9999-01-01
483586,Engineer,Pardalos,Nahla,9999-01-01
475724,Engineer,Figueira,Susanta,9999-01-01
107712,Staff,Birjandi,Sumant,9999-01-01
438207,Staff,Adachi,Elvis,9999-01-01
269279,Assistant Engineer,Staelin,Aria,9999-01-01
48791,Senior Engineer,Covnot,Kinh,9999-01-01
234524,Senior Staff,Yemenis,Fai,9999-01-01
203013,Assistant Engineer,Ritcey,Eran,9999-01-01
78649,Staff,Lorys,Gino,9999-01-01
449540,Assistant Engineer,Millington,Wayne,9999-01-01
252235,Engineer,Litzkow,Spyrose,9999-01-01
252419,Engineer,Bhattacharjee,Akemi,9999-01-01
31956,Senior Staff,Gecsei,Ziyad,9999-01-01
290759,Senior Staff,Laventhal,Sadok,9999-01-01
243184,Senior Staff,Zongker,Hilari,9999-01-01
49869,Staff,Etalle,Sampalli,9999-01-01
477811,Staff,Whitcomb,Shai,9999-01-01
62811,Senior Engineer,Pettey,Gadiel,9999-01-01
24526,Technique Leader,Sudbeck,Ayonca,9999-01-01
286982,Staff,Ranze,Aksel,9999-01-01
423397,Senior Engineer,Ghelli,Masami,9999-01-01
471131,Staff,Wixon,Subhankar,9999-01-01
38941,Engineer,Turnbull,Yurij,9999-01-01
98536,Senior Engineer,Figueira,Francesca,9999-01-01
444380,Senior Engineer,Conta,Gor,9999-01-01
460323,Engineer,Erbe,Tse,9999-01-01
59227,Engineer,Ruemmler,Adly,9999-01-01
259223,Senior Engineer,Vakili,Apostol,9999-01-01
423484,Senior Staff,Mersereau,Geoffrey,9999-01-01
419000,Staff,Sluis,Subhada,9999-01-01
295943,Senior Staff,Merkl,Jackson,9999-01-01
234668,Senior Engineer,Loncour,Basem,9999-01-01
50111,Senior Staff,Rosin,Angel,9999-01-01
443023,Senior Staff,Range,Edwin,9999-01-01
18771,Senior Staff,Haraldson,Domenick,9999-01-01
16551,Senior Engineer,Ranon,Sadegh,9999-01-01
294295,Senior Staff,Kilgore,Jolita,9999-01-01
27958,Senior Engineer,Hasham,Uno,9999-01-01
407229,Engineer,Ballarin,Narain,9999-01-01
206501,Engineer,Vrecion,Kamakshi,9999-01-01
73036,Senior Staff,Koyama,Syozo,9999-01-01
411195,Staff,Hertweck,Xinan,9999-01-01
404449,Senior Engineer,Schnelling,Xiaoqiu,9999-01-01
61625,Engineer,Rajcani,Shugo,9999-01-01
296236,Senior Engineer,Veevers,Susumu,9999-01-01
407191,Senior Staff,Bolotov,Itzchak,9999-01-01
485055,Senior Engineer,Zyda,Cullen,9999-01-01
264250,Engineer,Fasbender,Shmuel,9999-01-01
441762,Staff,Delaune,Mircea,9999-01-01
472096,Senior Engineer,Ernst,Lubomir,9999-01-01
471809,Staff,Paciorek,Moty,9999-01-01
484329,Senior Engineer,Pettis,Mats,9999-01-01
416847,Assistant Engineer,Dengi,Jinpo,9999-01-01
67767,Staff,Demos,Elvis,9999-01-01
440215,Engineer,Dredge,Keiichiro,9999-01-01
407594,Senior Staff,Cannard,Carrsten,9999-01-01
477483,Engineer,Luga,Fatemeh,9999-01-01
468344,Staff,Hertweck,Urs,9999-01-01
403477,Staff,Rajaraman,Herbert,9999-01-01
485487,Senior Staff,Roohalamini,Goetz,9999-01-01
462933,Senior Engineer,Hemaspaandra,Randy,9999-01-01
284457,Senior Staff,Luders,Eric,9999-01-01
289356,Staff,Kobuchi,Yuqun,9999-01-01
430501,Assistant Engineer,McConalogue,Candida,9999-01-01
204029,Senior Staff,Litzkow,Shaowen,9999-01-01
106667,Engineer,Anick,Stabislas,9999-01-01
403243,Engineer,Erez,Shigeo,9999-01-01
221035,Staff,Facello,Troy,9999-01-01
447808,Technique Leader,Gimbel,Wanqing,9999-01-01
40313,Senior Engineer,Staylopatis,Turgut,9999-01-01
405639,Engineer,Lienhardt,Godehard,9999-01-01
90812,Senior Staff,Thibadeau,Marie,9999-01-01
225033,Senior Engineer,Camurati,Naraig,9999-01-01
61992,Engineer,Kitsuregawa,Bilhanan,9999-01-01
213083,Senior Staff,Nishimukai,Wonhee,9999-01-01
471388,Staff,Poupard,Amalendu,9999-01-01
57898,Senior Engineer,Pearson,Atilio,9999-01-01
483775,Senior Staff,DuBourdieux,Moty,9999-01-01
280452,Assistant Engineer,Chenoweth,Navin,9999-01-01
469974,Senior Engineer,Cochrane,Djenana,9999-01-01
88386,Senior Engineer,Bondorf,Jiann,9999-01-01
100138,Engineer,Prenel,Changho,9999-01-01
24657,Senior Engineer,Silva,Berna,9999-01-01
294930,Senior Staff,Baik,Remmert,9999-01-01
47047,Assistant Engineer,Nourani,Shugo,9999-01-01
418991,Senior Engineer,Emden,Abdelkader,9999-01-01
204852,Senior Staff,Lupu,Demos,9999-01-01
267923,Senior Staff,Karnin,Valter,9999-01-01
490204,Staff,Waymire,Abdelaziz,9999-01-01
29722,Engineer,Flanders,Aron,9999-01-01
73559,Staff,Murrill,Masamitsu,9999-01-01
255156,Technique Leader,Barvinok,Constantino,9999-01-01
239393,Staff,Demian,Sanjay,9999-01-01
19425,Engineer,Pettey,Xuejia,9999-01-01
441516,Senior Engineer,Nitsch,Sanjai,9999-01-01
410862,Senior Engineer,Shobatake,Shigenori,9999-01-01
291216,Senior Engineer,Einsfeld,Satoru,9999-01-01
222339,Assistant Engineer,Grabner,Junichi,9999-01-01
495487,Senior Engineer,Kuhnemann,Perla,9999-01-01
224675,Senior Engineer,Cappello,Barna,9999-01-01
35429,Senior Engineer,Ducloy,Cathie,9999-01-01
465616,Staff,Moffat,Bernt,9999-01-01
442767,Senior Staff,Ouhyoung,Matt,9999-01-01
269453,Senior Staff,Chaudhuri,Yishai,9999-01-01
482715,Staff,Guting,Kwangyoen,9999-01-01
56581,Senior Staff,Cappello,Zhenbing,9999-01-01
499707,Senior Staff,Jayawardene,Paris,9999-01-01
483051,Senior Staff,Bain,Mingdong,9999-01-01
236555,Staff,Luga,Adamantios,9999-01-01
23940,Senior Engineer,Haldar,Jingling,9999-01-01
79026,Engineer,Frijda,Armond,9999-01-01
70478,Senior Engineer,Peac,Basil,9999-01-01
47383,Senior Staff,Melichar,Amabile,9999-01-01
490268,Staff,Menhardt,Aluzio,9999-01-01
231672,Engineer,Erdi,Hironobu,9999-01-01
499580,Senior Engineer,Perri,Karsten,9999-01-01
23977,Senior Staff,Boissier,Jouko,9999-01-01
473564,Senior Engineer,Basagni,Serge,9999-01-01
99688,Staff,Noriega,Christophe,9999-01-01
292322,Staff,Colorni,Adamantios,9999-01-01
412884,Senior Engineer,Selenyi,Nathan,9999-01-01
409267,Engineer,Roisin,Zijian,9999-01-01
243208,Senior Staff,Biros,Sachin,9999-01-01
234552,Senior Staff,Tokunaga,Saniya,9999-01-01
471437,Engineer,Impagliazzo,Christoper,9999-01-01
60255,Staff,Siochi,Danae,9999-01-01
42047,Senior Engineer,Ambroszkiewicz,Sahrah,9999-01-01
79688,Engineer,Billingsley,Gift,9999-01-01
79390,Staff,Shigei,Bernt,9999-01-01
18888,Engineer,Stassinopoulos,Sajjan,9999-01-01
439887,Senior Staff,Dusink,Fuqing,9999-01-01
105296,Staff,Peha,Conor,9999-01-01
454464,Senior Engineer,Rothe,Hisao,9999-01-01
289646,Senior Engineer,Bazelow,Gad,9999-01-01
289744,Staff,Ramsak,Aruna,9999-01-01
217714,Senior Staff,Coors,Sajjad,9999-01-01
203848,Senior Staff,Domenig,Danel,9999-01-01
421896,Engineer,Chinin,Serif,9999-01-01
213786,Senior Staff,Deyuan,Adas,9999-01-01
296800,Staff,Haraldson,Remmert,9999-01-01
57043,Engineer,Falco,Jaber,9999-01-01
55230,Engineer,Gonthier,Howell,9999-01-01
452324,Staff,Wielonsky,Mokhtar,9999-01-01
40428,Staff,Veldwijk,Rosalie,9999-01-01
402745,Engineer,Michaeli,Hongzue,9999-01-01
221755,Senior Staff,Sudbeck,Luerbio,9999-01-01
218965,Staff,Uludag,Jiakeng,9999-01-01
271754,Staff,Gente,Kenroku,9999-01-01
92770,Senior Engineer,Braunmuhl,Sudharsan,9999-01-01
256001,Senior Staff,Luby,Achilleas,9999-01-01
201433,Staff,Journel,Tonny,9999-01-01
420933,Engineer,Kroon,Gila,9999-01-01
62383,Technique Leader,Rodier,Khatoun,9999-01-01
293293,Senior Staff,Ramamoorthy,Duro,9999-01-01
245186,Staff,Trelles,Marlo,9999-01-01
275803,Technique Leader,Erdmenger,Jaroslava,9999-01-01
48658,Engineer,Lally,Ravishankar,9999-01-01
479402,Senior Staff,Perfilyeva,Martina,9999-01-01
230984,Senior Engineer,Itzigehl,Odinaldo,9999-01-01
238709,Senior Engineer,Chappelet,Mayuri,9999-01-01
244677,Senior Engineer,Ruther,Gift,9999-01-01
201410,Technique Leader,Gils,Renny,9999-01-01
476618,Staff,Kawashimo,Achilleas,9999-01-01
235548,Senior Staff,Nanard,Muneo,9999-01-01
466297,Senior Staff,Ramras,Jaques,9999-01-01
436002,Senior Engineer,Takanami,Kazuyasu,9999-01-01
494923,Engineer,Pardalos,Gudjon,9999-01-01
448478,Engineer,Stanger,Ulf,9999-01-01
214241,Senior Engineer,Strandh,Toshimo,9999-01-01
489221,Staff,Remmers,Dulce,9999-01-01
284459,Senior Engineer,Waeselynck,Souichi,9999-01-01
464601,Senior Engineer,Garigliano,Honesty,9999-01-01
493352,Staff,Sigstam,Thodoros,9999-01-01
54773,Senior Engineer,Cichocki,Avishai,9999-01-01
16077,Assistant Engineer,Heemskerk,Kannan,9999-01-01
444673,Staff,Kruskal,Taisook,9999-01-01
53324,Senior Engineer,Speckmann,Vincent,9999-01-01
445124,Engineer,Comyn,Mariusz,9999-01-01
413674,Engineer,Plotkin,Przemyslawa,9999-01-01
75186,Senior Staff,Miyakawa,Filipp,9999-01-01
420661,Senior Staff,Speckmann,Bowen,9999-01-01
217986,Engineer,Auria,Aiichiro,9999-01-01
57475,Senior Staff,Takanami,Parviz,9999-01-01
283855,Assistant Engineer,Klassen,Yuchang,9999-01-01
99226,Engineer,Pehl,Mario,9999-01-01
484754,Senior Staff,Hebert,Mario,9999-01-01
44178,Senior Staff,Schmezko,Jackson,9999-01-01
24925,Senior Engineer,Thebaut,Gennady,9999-01-01
287585,Senior Engineer,Heinisuo,Kwangyoen,9999-01-01
259052,Staff,Comellas,Mads,9999-01-01
76300,Staff,Luan,Ranga,9999-01-01
67613,Senior Engineer,Andreotta,Hyuncheol,9999-01-01
491303,Senior Engineer,Linares,Faiza,9999-01-01
482123,Staff,Mungall,Nobuyoshi,9999-01-01
214008,Technique Leader,Thimonier,Zhigen,9999-01-01
457051,Senior Staff,Bain,Rosli,9999-01-01
58590,Senior Staff,Roisin,Jayson,9999-01-01
496192,Engineer,Weedman,Qunsheng,9999-01-01
294288,Technique Leader,Lyonns,Adel,9999-01-01
280355,Staff,Stroustrup,Xiaoqiu,9999-01-01
438781,Senior Engineer,Thambidurai,Kiyokazu,9999-01-01
25644,Staff,Straney,Kwangho,9999-01-01
93412,Senior Staff,Sinicrope,Sivanarayana,9999-01-01
421499,Senior Engineer,Danecki,Billie,9999-01-01
12795,Staff,Fordan,Masoud,9999-01-01
39143,Senior Staff,Salverda,Flemming,9999-01-01
90743,Senior Staff,Emden,Rayond,9999-01-01
496796,Staff,Eugenio,Hsiangchu,9999-01-01
232416,Engineer,Binkley,Tokuyasu,9999-01-01
51285,Engineer,Itschner,Zhiwei,9999-01-01
36705,Senior Engineer,Berztiss,Zissis,9999-01-01
459478,Senior Engineer,Vuskovic,Danai,9999-01-01
287152,Staff,Comte,Raimond,9999-01-01
244454,Senior Staff,Morrow,Akeno,9999-01-01
59018,Staff,Liesche,Marsal,9999-01-01
456174,Senior Staff,Raczkowsky,Vojin,9999-01-01
410553,Engineer,Varman,Sanjay,9999-01-01
288393,Senior Staff,Lakshmanan,Bernd,9999-01-01
91506,Staff,Isaac,Lillian,9999-01-01
478045,Staff,Hanratty,Guoxiang,9999-01-01
86405,Senior Engineer,Bale,Sreekrishna,9999-01-01
275599,Engineer,Cichocki,Toshimi,9999-01-01
282013,Engineer,Hiyoshi,Ottavia,9999-01-01
22873,Staff,Ashish,Ebbe,9999-01-01
420578,Technique Leader,Kalsbeek,Francoise,9999-01-01
494807,Senior Staff,Simkin,Marc,9999-01-01
405512,Engineer,Jeansoulin,Mabhin,9999-01-01
487667,Staff,Cannard,Valery,9999-01-01
411139,Staff,Sevcikova,Muneo,9999-01-01
43078,Staff,Wuwongse,Radhia,9999-01-01
489054,Senior Engineer,Giveon,Edwin,9999-01-01
217434,Engineer,Unno,Kwun,9999-01-01
433509,Senior Staff,Demian,Dzung,9999-01-01
97091,Senior Engineer,Frijda,Juichirou,9999-01-01
474818,Senior Engineer,Ghemri,Narain,9999-01-01
479035,Senior Engineer,Chaudhury,Samphel,9999-01-01
419898,Senior Staff,Merkl,Zhanqiu,9999-01-01
95886,Senior Staff,Hanratty,Gift,9999-01-01
247878,Senior Staff,Peha,Doohun,9999-01-01
23026,Engineer,Lortz,Junichi,9999-01-01
251883,Staff,Barreiro,Trygve,9999-01-01
109991,Senior Engineer,Reistad,Jinxi,9999-01-01
50610,Senior Staff,Nyanchama,Kazuhira,9999-01-01
23159,Senior Staff,Esposito,Atilio,9999-01-01
277973,Senior Staff,Morton,Parviz,9999-01-01
459653,Senior Engineer,Monkewich,Magdalena,9999-01-01
448131,Staff,Akaboshi,Aloys,9999-01-01
61264,Staff,Sethi,Shuzo,9999-01-01
231564,Staff,Nanard,Vasilii,9999-01-01
43983,Senior Engineer,Capobianchi,Goa,9999-01-01
83210,Senior Engineer,Zockler,Seongbae,9999-01-01
464050,Senior Staff,Bratten,Shan,9999-01-01
402379,Engineer,Setiz,Piyush,9999-01-01
424950,Senior Staff,Mundy,Yuchang,9999-01-01
424765,Engineer,Azevdeo,Lillian,9999-01-01
225059,Engineer,Vernadat,Tuval,9999-01-01
412350,Technique Leader,Chiola,Felicidad,9999-01-01
224264,Senior Engineer,Lorch,Weiwu,9999-01-01
13146,Senior Staff,Erie,Haldon,9999-01-01
207808,Technique Leader,Peyn,Alper,9999-01-01
427682,Senior Staff,Birta,Boalin,9999-01-01
229111,Senior Engineer,Schiper,Satoru,9999-01-01
278528,Staff,Rando,Maya,9999-01-01
451390,Senior Staff,Itzigehl,Youngkon,9999-01-01
470276,Engineer,Kalorkoti,Ishfaq,9999-01-01
38915,Staff,Hanratty,Divine,9999-01-01
443078,Staff,Hennebert,Ortrud,9999-01-01
257526,Engineer,Ferretti,Lalit,9999-01-01
493163,Engineer,Shrader,Eirik,9999-01-01
36722,Technique Leader,Zirintsis,Samphel,9999-01-01
221398,Senior Engineer,Cochrane,Hiroyasu,9999-01-01
51521,Senior Staff,Gustavson,Chinhyun,9999-01-01
27914,Senior Staff,Businaro,Valter,9999-01-01
31999,Staff,Siksek,Stabislas,9999-01-01
479290,Engineer,Fujisaki,Lobel,9999-01-01
13859,Engineer,Fujisawa,Anoosh,9999-01-01
47342,Senior Staff,Stiles,Shichao,9999-01-01
406858,Engineer,Couchot,Sungwon,9999-01-01
63542,Senior Engineer,Hanratty,Michaela,9999-01-01
216327,Senior Engineer,Heuter,Morris,9999-01-01
11931,Senior Staff,Chiodo,Gunilla,9999-01-01
442850,Engineer,Vitiello,Constantijn,9999-01-01
93813,Staff,Janetzko,Giordano,9999-01-01
28734,Staff,Heydon,Arvind,9999-01-01
270149,Staff,Busillo,Zhanqiu,9999-01-01
223547,Engineer,Heijenga,Gaetan,9999-01-01
245742,Staff,Lampe,Ohad,9999-01-01
282893,Senior Staff,Azevdeo,Shugo,9999-01-01
474176,Engineer,Azuma,Shimshon,9999-01-01
441332,Senior Engineer,Bruckman,Sverrir,9999-01-01
432029,Senior Engineer,Georgatos,Domenick,9999-01-01
53659,Staff,Sommer,Feipei,9999-01-01
270318,Staff,Macedo,True,9999-01-01
37478,Assistant Engineer,Mahmud,Kenton,9999-01-01
31456,Technique Leader,Rajcani,Tamiya,9999-01-01
405067,Staff,Restivo,Shih,9999-01-01
453766,Staff,Begiun,Vatsa,9999-01-01
480003,Engineer,Brlek,Uta,9999-01-01
446695,Engineer,Einsfeld,Filipe,9999-01-01
466273,Senior Staff,Shihab,Gina,9999-01-01
474619,Senior Engineer,Lieberherr,Douadi,9999-01-01
27786,Staff,Taubman,Lijia,9999-01-01
458535,Senior Staff,Krohm,Shaowei,9999-01-01
258627,Senior Staff,Cools,Maris,9999-01-01
74699,Engineer,Rotem,Moon,9999-01-01
427269,Senior Engineer,Ginesta,Mark,9999-01-01
245717,Senior Engineer,Nergos,Chinya,9999-01-01
444742,Senior Staff,Fadgyas,Moriyoshi,9999-01-01
427138,Senior Staff,Vidya,Bernd,9999-01-01
43068,Senior Engineer,Halloran,Nikolaos,9999-01-01
82276,Senior Staff,Genin,Frederique,9999-01-01
77641,Staff,Nishimukai,Berni,9999-01-01
279642,Engineer,Besancenot,Feipei,9999-01-01
234156,Staff,Montemayor,Mitchel,9999-01-01
232053,Senior Engineer,Mundy,Izaskun,9999-01-01
42188,Engineer,Niizuma,Ravishankar,9999-01-01
466575,Engineer,Langford,Otmar,9999-01-01
75990,Senior Staff,Montemayor,Irene,9999-01-01
273406,Senior Engineer,Randt,Hitofumi,9999-01-01
37751,Staff,DuBourdieux,Jacopo,9999-01-01
61362,Senior Engineer,Pietracaprina,Ayonca,9999-01-01
78014,Engineer,Ressouche,Gay,9999-01-01
230966,Engineer,Melski,Tadahiro,9999-01-01
463731,Staff,Erev,Weidon,9999-01-01
480192,Senior Staff,Onuegbe,Dhritiman,9999-01-01
422685,Engineer,Oxman,Reinhard,9999-01-01
235394,Senior Staff,Ecklund,Visit,9999-01-01
228610,Senior Engineer,Llado,Tomokazu,9999-01-01
213144,Senior Staff,Luon,Patricio,9999-01-01
219034,Engineer,Doering,Danai,9999-01-01
97925,Engineer,Beeson,Kwok,9999-01-01
284459,Engineer,Waeselynck,Souichi,9999-01-01
286449,Senior Engineer,Khalid,Randi,9999-01-01
292600,Staff,Schlumberger,Margo,9999-01-01
208417,Staff,Ponthieu,Mani,9999-01-01
87234,Senior Staff,Mungall,Boriana,9999-01-01
101855,Senior Staff,Majewski,Sven,9999-01-01
95153,Senior Engineer,Kawashima,Guangming,9999-01-01
80375,Engineer,Peac,Atreye,9999-01-01
52933,Staff,Uludag,Gurbir,9999-01-01
457202,Staff,Mersereau,Uzi,9999-01-01
101073,Engineer,Iwayama,Yongdong,9999-01-01
47462,Senior Staff,Sooriamurthi,Beshir,9999-01-01
479396,Senior Engineer,Blokdijk,Mohammad,9999-01-01
79973,Staff,Socorro,Zine,9999-01-01
471461,Senior Staff,Brickell,Jovan,9999-01-01
466615,Engineer,Wixon,Mats,9999-01-01
24136,Senior Engineer,Henders,Isamu,9999-01-01
73808,Engineer,Skafidas,Urs,9999-01-01
219438,Engineer,Awdeh,Saeko,9999-01-01
253457,Engineer,Stasinski,Terresa,9999-01-01
438304,Senior Staff,Gilg,Jeane,9999-01-01
19665,Technique Leader,Zielinski,Khalid,9999-01-01
425795,Engineer,Beetstra,Zine,9999-01-01
272259,Staff,Lorcy,Yongqiao,9999-01-01
69271,Senior Engineer,Zyda,Debatosh,9999-01-01
31770,Senior Staff,Couchot,Weiyi,9999-01-01
426073,Senior Staff,Driscoll,Jingling,9999-01-01
